timestamp,action,price,balance_or_position
54,buy,47073.73,0.21222027657464151
67,sell,55851.59,11840.987037056548
78,buy,57351.56,0.20625674436788627
90,sell,58950.01,12146.678305911286
92,buy,58202.01,0.2084899065789201
94,sell,57991.15,12078.478876458239
95,buy,55953.45,0.215650695311581
100,sell,59860.0,12895.941770729885
107,buy,55633.14,0.2315714307867425
119,sell,57800.37,13371.529466522205
131,buy,49670.97,0.2689328985734662
150,sell,36693.09,9858.111072265749
171,buy,32509.56,0.3029340588181902
178,sell,35911.73,10868.007241954883
195,buy,31383.87,0.34594647615838736
202,sell,33634.09,11623.95931937976
228,buy,44705.29,0.2597530484660849
232,sell,49239.22,12777.247461593124
235,buy,48973.32,0.26064130865809243
248,sell,46863.73,12202.409291883707
249,buy,46048.31,0.2647264770974619
273,sell,47634.9,12597.609044625997
296,buy,63078.78,0.19951260052241612
312,sell,64882.43,12931.917475176113
315,buy,64380.0,0.20066768495962933
352,sell,46914.16,9404.741723146619
368,buy,43451.13,0.216227678806592
378,sell,43084.29,9306.700003710333
385,buy,35071.42,0.2650988555269967
393,sell,37881.76,10032.368810127015
413,buy,40079.17,0.2500634729041766
423,sell,44421.2,11097.011423028438
429,buy,37988.0,0.29182674559348765
439,sell,40917.9,11928.996655926248
459,buy,43170.47,0.2760467435094017
488,sell,36552.97,10080.238005762758
489,buy,36013.77,0.2796196501437366
504,sell,29445.06,8225.183958285672
527,buy,22487.41,0.36540263081997376
540,sell,21038.07,7679.67875924939
582,buy,23174.39,0.33105506037009563
584,sell,23149.95,7656.244186719881
593,buy,23191.2,0.32980561344532244
616,sell,21648.34,7132.604309719139
625,buy,19537.02,0.3647164053376318
635,sell,19591.51,7138.19975723393
649,buy,19375.13,0.3680523205509689
650,sell,19176.93,7051.055473955949
652,buy,19262.98,0.3656757375277342
653,sell,19549.86,7141.760564589886
676,buy,15922.81,0.44807535881074356
692,sell,16522.14,7395.760645012517
717,buy,16895.56,0.4372962414011435
724,sell,16706.36,7298.322807058913
726,buy,16633.47,0.43833454379945097
732,sell,16850.36,7378.70876859306
759,buy,23125.13,0.31875842686395567
777,sell,24631.95,7843.789990959021
784,buy,23157.07,0.33838245516242177
802,sell,24285.66,8209.623414783779
